Channel	Count
0	3906
1	3843
2	3945
3	3728
4	3755
5	3902
6	3837
7	3752
8	3871
9	3867
10	3859
11	3763
12	3854
13	3847
14	3937
15	3925
16	3829
17	3775
18	3854
19	3825
20	3886
21	3852
22	3886
23	3787
24	3850
25	3859
26	3798
27	3861
28	3817
29	3766
30	3873
31	3831
32	3816
33	3910
34	3733
35	3733
36	3963
37	3958
38	3872
39	3856
40	3798
41	3784
42	3956
43	3817
44	3802
45	3790
46	3864
47	3811
48	3904
49	3871
50	3820
51	3788
52	3780
53	3808
54	3798
55	3843
56	3723
57	3850
58	3815
59	3781
60	3822
61	3766
62	3818
63	3832
64	3717
65	3772
66	3844
67	3739
68	3790
69	3774
70	3798
71	3744
72	3826
73	3754
74	3809
75	3746
76	3747
77	3720
78	3775
79	3820
80	3784
81	3845
82	3711
83	3837
84	3858
85	3762
86	3848
87	3835
88	3816
89	3738
90	3784
91	3752
92	3716
93	3920
94	3806
95	3766
96	3743
97	3787
98	3797
99	3761
100	3769
101	3727
102	3832
103	3736
104	3629
105	3727
106	3618
107	3760
108	3692
109	3718
110	3759
111	3709
112	3568
113	3638
114	3606
115	3615
116	3571
117	3600
118	3662
119	3565
120	3581
121	3485
122	3456
123	3353
124	3311
125	3364
126	3328
127	3284
128	3261
129	3314
130	3105
131	3096
132	2986
133	2966
134	2896
135	2885
136	2905
137	2759
138	2794
139	2677
140	2660
141	2619
142	2635
143	2597
144	2615
145	2667
146	2649
147	2740
148	2809
149	2779
150	2785
151	2793
152	2937
153	2985
154	3104
155	3086
156	3158
157	3203
158	3210
159	3336
160	3344
161	3297
162	3489
163	3374
164	3444
165	3400
166	3478
167	3493
168	3471
169	3571
170	3552
171	3555
172	3596
173	3570
174	3648
175	3615
176	3626
177	3731
178	3792
179	3618
180	3723
181	3787
182	3681
183	3786
184	3677
185	3727
186	3699
187	3701
188	3799
189	3845
190	3805
191	3767
192	3770
193	3835
194	3693
195	3758
196	3740
197	3737
198	3794
199	3686
200	3827
201	3803
202	3925
203	3714
204	3674
205	3760
206	3874
207	3721
208	3785
209	3797
210	3754
211	3884
212	3876
213	3863
214	3700
215	3760
216	3809
217	3822
218	3790
219	3820
220	3773
221	3754
222	3816
223	3834
224	3700
225	3883
226	3845
227	3797
228	3910
229	3787
230	3826
231	3840
232	3775
233	3762
234	3766
235	3799
236	3734
237	3875
238	3807
239	3834
240	3753
241	3702
242	3807
243	3750
244	3823
245	3764
246	3748
247	3650
248	3692
249	3892
250	3691
251	3779
252	3711
253	3757
254	3784
255	3625
256	3759
257	3605
258	3756
259	3585
260	3749
261	3688
262	3608
263	3616
264	3551
265	3544
266	3640
267	3536
268	3540
269	3631
270	3563
271	3465
272	3579
273	3432
274	3464
275	3496
276	3312
277	3339
278	3344
279	3274
280	3156
281	3188
282	3082
283	3017
284	3048
285	3014
286	2887
287	2897
288	2823
289	2745
290	2653
291	2731
292	2690
293	2678
294	2664
295	2759
296	2670
297	2692
298	2731
299	2664
300	2822
301	2914
302	2926
303	3008
304	3058
305	2975
306	3057
307	3175
308	3202
309	3314
310	3263
311	3211
312	3287
313	3379
314	3460
315	3500
316	3508
317	3502
318	3551
319	3560
320	3593
321	3521
322	3494
323	3591
324	3606
325	3605
326	3702
327	3791
328	3664
329	3782
330	3673
331	3717
332	3764
333	3718
334	3733
335	3680
336	3761
337	3854
338	3771
339	3790
340	3715
341	3725
342	3860
343	3765
344	3926
345	3765
346	3675
347	3910
348	3877
349	3841
350	3944
351	3890
352	3849
353	3798
354	3787
355	3873
356	3863
357	3849
358	3790
359	3875
360	3862
361	3933
362	3807
363	3840
364	3860
365	3903
366	3843
367	3886
368	3807
369	3803
370	3865
371	3788
372	3896
373	3865
374	3863
375	3873
376	3789
377	3737
378	3892
379	3836
380	3852
381	3819
382	3952
383	3880
384	3804
385	3860
386	3858
387	3839
388	3947
389	3727
390	3857
391	3820
392	3843
393	3849
394	3840
395	3796
396	3858
397	3800
398	3901
399	3929
400	3834
401	3852
402	3819
403	3787
404	3845
405	3705
406	3915
407	3895
408	3881
409	3827
410	3749
411	3820
412	3801
413	3806
414	3794
415	3799
416	3798
417	3837
418	3622
419	3751
420	3874
421	3768
422	3768
423	3641
424	3753
425	3767
426	3668
427	3645
428	3620
429	3670
430	3709
431	3576
432	3498
433	3441
434	3383
435	3412
436	3306
437	3320
438	3302
439	3270
440	3208
441	3194
442	3209
443	3093
444	3001
445	3009
446	3020
447	2938
448	2971
449	3001
450	3076
451	3134
452	3191
453	3272
454	3433
455	3327
456	3449
457	3452
458	3565
459	3533
460	3594
461	3621
462	3610
463	3660
464	3626
465	3761
466	3631
467	3690
