Channel	Count
0	145202
1	146310
2	145719
3	146356
4	146205
5	146353
6	145931
7	146158
8	146183
9	146488
10	145664
11	146669
12	145171
13	146650
14	146176
15	145602
16	146102
17	146347
18	146405
19	145807
20	145987
21	146288
22	146104
23	146403
24	147025
25	146474
26	146420
27	146967
28	146156
29	146121
30	146272
31	146776
32	146209
33	146488
34	146610
35	146669
36	145514
37	147171
38	145582
39	146173
40	146679
41	147178
42	146344
43	146600
44	146163
45	146700
46	146455
47	146310
48	146689
49	146985
50	146442
51	146388
52	146621
53	146867
54	146578
55	146501
56	147096
57	147554
58	146895
59	146739
60	147056
61	147074
62	146669
63	146555
64	146774
65	147392
66	146930
67	147111
68	147435
69	146066
70	147109
71	146220
72	147015
73	146902
74	147171
75	147079
76	146733
77	147746
78	146965
79	146462
80	147325
81	146557
82	147246
83	147064
84	146933
85	147194
86	146719
87	147015
88	147655
89	146965
90	146418
91	147406
92	146260
93	146243
94	146467
95	145847
96	146030
97	146280
98	146450
99	145595
100	145887
101	146144
102	145045
103	144257
104	143267
105	143330
106	141849
107	140748
108	140008
109	139298
110	137930
111	137184
112	136631
113	137035
114	138406
115	138965
116	140401
117	140603
118	142179
119	143276
120	143844
121	144023
122	144913
123	145290
124	144910
125	145808
126	145307
127	146998
128	146060
129	146713
130	146810
131	146761
132	146658
133	147373
134	146516
135	146348
136	147627
137	147722
138	147196
139	147707
140	147171
141	147705
142	147764
143	147495
144	148362
145	147523
146	147901
147	147129
148	147192
149	148163
150	147475
151	147496
152	146975
153	147462
154	147350
155	148020
156	148037
157	147483
158	147654
159	147854
160	148832
161	147871
162	147147
163	147031
164	148195
165	147785
166	148028
167	148600
168	147996
169	148293
170	148125
171	148423
172	147941
173	147651
174	147835
175	148437
176	148865
177	148058
178	148581
179	148469
180	148076
181	147789
182	148388
183	148436
184	148519
185	148180
186	147834
187	148414
188	148552
189	148102
190	147623
191	148245
192	149191
193	148106
194	148231
195	148512
196	148192
197	148907
198	148784
199	148572
200	148380
201	148823
202	148098
203	147904
204	148292
205	148685
206	148022
207	148259
208	148399
209	148044
210	148435
211	148534
212	148594
213	148133
214	148750
215	148560
216	148557
217	148612
218	148433
219	148499
220	148685
221	148951
222	148172
223	148335
224	147864
225	148429
226	148949
227	148951
228	147954
229	148624
230	148929
231	148691
232	149210
233	148370
234	148990
235	148590
236	148139
237	148136
238	148537
239	147491
240	148218
241	148527
242	148242
243	147791
244	148009
245	147866
246	147870
247	147198
248	148020
249	147356
250	147824
251	146463
252	146320
253	145756
254	144932
255	144003
256	143127
257	142808
258	141250
259	141355
260	140787
261	142078
262	142083
263	143073
264	144429
265	144312
266	146505
267	145985
268	146396
269	147233
270	147813
271	147262
272	147580
273	148265
274	148402
275	148340
276	147378
277	147967
278	148027
279	148628
280	148898
281	148588
282	148471
283	149144
284	148422
285	148655
286	148729
287	148233
288	149158
289	149149
290	149048
291	149973
292	148461
293	149287
294	149116
295	149134
296	149032
297	149292
298	148748
299	149418
300	149279
301	148903
302	148199
303	149727
304	149297
305	149361
306	149087
307	149805
308	149298
309	149075
310	148964
311	149514
312	149359
313	148828
314	149598
315	149542
316	149602
317	149271
318	149346
319	150045
320	149015
321	149465
322	149309
323	149319
324	150225
325	149457
326	149620
327	149067
328	149317
329	149305
330	149278
331	150060
332	149245
333	149521
334	149617
335	148748
336	149209
337	149212
338	149115
339	149291
340	150385
341	150031
342	149632
343	150122
344	149100
345	149420
346	149482
347	149459
348	149411
349	149676
350	149535
351	148612
