Channel	Count
0	11237
1	11204
2	11335
3	11162
4	11078
5	11329
6	11035
7	11038
8	10953
9	11128
10	11158
11	11119
12	11176
13	11183
14	11200
15	11227
16	11214
17	11017
18	11069
19	11076
20	11023
21	11220
22	11189
23	11048
24	11054
25	11202
26	11212
27	11000
28	11109
29	10968
30	11280
31	11046
32	11091
33	11094
34	11090
35	11289
36	10936
37	11348
38	11263
39	11248
40	11121
41	10984
42	11004
43	11219
44	11029
45	11044
46	11205
47	11023
48	11150
49	11191
50	11052
51	11259
52	11007
53	11051
54	11186
55	11189
56	10889
57	11215
58	11009
59	11095
60	11192
61	11169
62	11007
63	11167
64	11157
65	11097
66	11105
67	11345
68	11098
69	10977
70	10942
71	11167
72	11128
73	11005
74	11011
75	11268
76	11312
77	11119
78	11010
79	11108
80	11220
81	11102
82	11149
83	11004
84	11179
85	11055
86	11144
87	11103
88	11265
89	11234
90	11072
91	11124
92	11009
93	10854
94	11040
95	11137
96	11131
97	11081
98	11083
99	11029
100	11222
101	11036
102	10918
103	10819
104	10960
105	10831
106	11094
107	11075
108	11038
109	11210
110	10965
111	10991
112	10986
113	11074
114	10870
115	10936
116	10840
117	10833
118	10798
119	10683
120	10653
121	10593
122	10620
123	10492
124	10550
125	10501
126	10512
127	10286
128	10069
129	10016
130	9892
131	9597
132	9534
133	9382
134	9378
135	9283
136	9156
137	9146
138	8996
139	9323
140	9205
141	9339
142	9500
143	9821
144	9669
145	9783
146	9795
147	10282
148	10292
149	10507
150	10334
151	10518
152	10499
153	10628
154	10453
155	10755
156	10484
157	10599
158	10811
159	10751
160	10661
161	10855
162	10635
163	10692
164	10884
165	10680
166	10906
167	10855
168	10907
169	10816
170	11128
171	10947
172	11062
173	10969
174	11070
175	11135
176	10893
177	11104
178	10960
179	11023
180	11107
181	11099
182	11198
183	10977
184	11030
185	11092
186	11197
187	11031
188	11168
189	11165
190	11250
191	10983
192	11153
193	11278
194	11171
195	11217
196	11249
197	11190
198	11069
199	10995
200	10931
201	11138
202	10985
203	11230
204	11098
205	11102
206	11151
207	11122
208	11190
209	11277
210	11202
211	11452
212	11282
213	11294
214	11093
215	11055
216	11173
217	11245
218	11274
219	11146
220	11012
221	11355
222	11037
223	11165
224	11182
225	11247
226	11045
227	11158
228	11295
229	11098
230	11240
231	11238
232	11254
233	11275
234	11253
235	11254
236	11261
237	11362
238	11270
239	11417
240	11247
241	11167
242	11172
243	10977
244	11266
245	11209
246	11216
247	11206
248	11157
249	11265
250	11153
251	11172
252	11078
253	11054
254	11131
255	11110
256	11126
257	11247
258	11107
259	11133
260	10999
261	11227
262	10935
263	11103
264	11152
265	10972
266	11129
267	11070
268	11092
269	10982
270	10921
271	11085
272	10701
273	11009
274	10789
275	10714
276	10736
277	10771
278	10680
279	10576
280	10492
281	10482
282	10445
283	10321
284	10342
285	9909
286	9909
287	9841
288	9840
289	9631
290	9608
291	9647
292	9703
293	9772
294	9686
295	9970
296	9944
297	10188
298	10148
299	10233
300	10255
301	10396
302	10510
303	10714
304	10697
305	10480
306	10710
307	10612
308	10884
309	10715
310	10867
311	10976
312	10977
313	11159
314	10934
315	11094
316	10947
317	11090
318	11019
319	11128
320	11043
321	11079
322	11013
323	11277
324	10967
325	11186
326	11242
327	11026
328	11251
329	11146
330	11327
331	11311
332	11123
333	11109
334	11330
335	11272
336	11081
337	11241
338	11100
339	11253
340	11368
341	11486
342	11147
343	11375
344	10974
345	11089
346	11149
347	11219
348	11225
349	11199
350	11325
351	11150
352	11307
353	11217
354	11221
355	11363
356	11397
357	11430
358	11243
359	11139
360	11177
361	11196
362	11288
363	11195
364	11220
365	11213
366	11139
367	11362
368	11186
369	11361
370	11247
371	11334
372	11332
373	11193
374	11310
375	11031
376	11215
377	11242
378	11281
379	11187
380	11115
381	11284
382	11208
383	11228
384	11335
385	11396
386	11149
387	11254
388	11082
389	11221
390	11362
391	11120
392	11296
393	11288
394	11233
395	11314
396	11374
397	11230
398	11206
399	11211
400	11394
401	11433
402	11370
403	11300
404	11141
405	11189
406	11323
407	11264
408	11504
409	11192
410	11082
411	11412
412	11381
413	11100
414	10934
415	11243
416	11205
417	11133
418	11229
419	11009
420	11071
421	11293
422	11119
423	11229
424	11089
425	11173
426	10918
427	10965
428	11096
429	10875
430	11040
431	11019
432	11038
433	11041
434	10798
435	10888
436	10517
437	10671
438	10653
439	10450
440	10339
441	10220
442	10377
443	10332
444	10285
445	10280
446	10376
447	10302
448	10469
449	10652
450	10553
451	10660
452	10580
453	10762
454	10925
455	10761
456	10832
457	10973
458	10853
459	10982
460	11253
461	11106
462	11074
463	11045
464	11320
465	10964
466	10981
467	11202
468	10994
469	11331
470	11188
471	11020
472	11194
473	11202
474	11218
475	11102
476	11066
477	11149
478	11350
479	11256
480	11257
481	11284
482	11389
483	11318
484	11452
485	11429
486	11251
487	11165
488	11196
489	11125
490	11190
491	11120
492	11231
493	11158
494	11175
495	11144
496	11309
497	11247
498	11358
499	11114
500	11067
501	11183
502	11075
503	11488
504	11196
505	11067
506	11348
507	11263
508	11587
509	11114
510	11033
511	11392
512	11207
513	11141
514	11053
515	11178
516	11043
517	11230
518	11434
519	11322
520	11358
521	11062
522	11177
523	11213
524	11129
525	11117
526	11170
527	11100
528	11360
529	11124
530	11311
531	11344
532	11255
533	11320
534	11073
535	11147
536	11121
537	11146
538	11067
539	11198
540	11120
541	11225
542	11121
543	11113
544	11124
545	11096
546	11129
547	10888
548	11014
549	10766
550	10856
551	10807
552	10748
553	10545
554	10661
555	10351
556	10367
557	10462
558	10142
559	10269
560	10205
561	10204
562	10253
563	10271
564	10454
565	10455
566	10306
567	10662
568	10536
569	10802
570	10671
571	10808
572	10799
573	10862
574	10973
575	10980
576	11031
577	10902
578	11001
579	11048
580	11123
581	11224
582	11146
583	11229
584	11160
585	11228
586	11246
587	11328
588	11426
589	11139
590	11147
591	11258
592	11263
593	11113
594	11101
595	11358
596	11216
597	11138
598	11320
599	11219
600	11207
601	11362
602	11196
603	11189
604	11002
605	11234
606	11134
607	11322
608	11271
609	11205
610	11452
611	11158
612	11081
613	11277
614	11502
615	11229
616	11137
617	11239
618	11255
619	11199
620	11259
621	11207
622	11087
623	11269
624	11348
625	11053
626	11345
627	11260
628	11161
629	11278
630	11266
631	11336
632	11213
633	11235
634	11120
635	11093
636	11230
637	11210
638	11110
639	11190
640	11334
641	11367
642	11397
643	11260
644	11115
645	11219
646	10979
647	11347
648	11137
649	11208
650	11278
