Channel	Count
0	93100
1	92895
2	93256
3	92334
4	93695
5	93106
6	93023
7	93132
8	93110
9	93063
10	93779
11	92728
12	92559
13	93817
14	92865
15	93257
16	92929
17	93277
18	92861
19	93153
20	93510
21	92616
22	92809
23	92892
24	93257
25	93202
26	92710
27	93140
28	92863
29	93282
30	93041
31	93507
32	93176
33	92811
34	93032
35	93330
36	92636
37	93057
38	93116
39	93341
40	93403
41	92910
42	93213
43	92747
44	92853
45	93237
46	93504
47	93171
48	93206
49	93726
50	93943
51	92945
52	92935
53	93303
54	93038
55	93120
56	93238
57	93028
58	93588
59	92956
60	93135
61	93535
62	93162
63	93088
64	93192
65	93632
66	92831
67	93370
68	93750
69	93035
70	93522
71	93200
72	93359
73	93126
74	93231
75	92369
76	93022
77	93286
78	93191
79	93396
80	93392
81	93691
82	93046
83	93129
84	92596
85	92846
86	93057
87	93589
88	93361
89	92445
90	93395
91	93258
92	93076
93	93101
94	93443
95	93460
96	93084
97	93408
98	93172
99	93429
100	93720
101	93795
102	93025
103	93006
104	93272
105	93573
106	93201
107	93644
108	93383
109	93578
110	93166
111	93318
112	93140
113	93492
114	93275
115	93041
116	92935
117	93365
118	93340
119	93894
120	93140
121	93759
122	92995
123	93546
124	93272
125	93355
126	92651
127	92739
128	93785
129	93838
130	93121
131	93261
132	93607
133	93177
134	93151
135	93386
136	93728
137	93253
138	93681
139	93603
140	93423
141	93215
142	93383
143	93209
144	92968
145	93619
146	93088
147	93447
148	93778
149	93376
150	93483
151	93833
152	93239
153	93223
154	92778
155	93239
156	94259
157	93282
158	93078
159	93257
160	93757
161	93065
162	92930
163	93142
164	93548
165	93495
166	93920
167	93970
168	93183
169	94028
170	93438
171	93593
172	93280
173	94007
174	93946
175	93514
176	93602
177	93309
178	93620
179	93260
180	93931
181	93684
182	93101
183	93540
184	93746
185	93443
186	93630
187	93599
188	93615
189	93557
190	94041
191	93368
192	93585
193	93691
194	93456
195	93056
196	93743
197	93224
198	93578
199	93343
200	93297
201	93202
202	94152
203	93629
204	93637
205	93549
206	93300
207	93429
208	93539
209	94011
210	93293
211	93249
212	93174
213	94007
214	93469
215	93412
216	93925
217	93506
218	93855
219	93557
220	93398
221	93600
222	93549
223	93035
224	93588
225	93205
226	93676
227	93576
228	93377
229	93358
230	93293
231	93580
232	93857
233	93582
234	93280
235	93401
236	93518
237	93607
238	93568
239	92892
240	93588
241	93196
242	93254
243	93013
244	93537
245	93667
246	93960
247	93204
248	93441
249	93205
250	93842
251	93833
252	93906
253	93153
254	93569
255	93639
256	94254
257	93881
258	94253
259	93453
260	93499
261	93632
262	93830
263	93964
264	93798
265	93688
266	93689
267	93795
268	93872
269	93721
270	93671
271	93707
272	93653
273	93756
274	93380
275	93538
276	93750
277	93170
278	93963
279	93507
280	93671
281	94155
282	93175
283	93683
284	93894
285	92822
286	93903
287	93800
288	93816
289	93555
290	93424
291	93526
292	93819
293	93430
294	93784
295	93306
296	93358
297	94043
298	93059
299	93622
300	93335
301	94271
302	94448
303	93032
304	93254
305	93687
306	93920
307	93970
308	93167
309	93457
310	93427
311	93407
312	93939
313	94116
314	93968
315	93916
316	94192
317	93409
318	93137
319	93835
320	93397
321	94017
322	93416
323	93380
324	94024
325	94282
326	93662
327	93079
328	93065
329	93098
330	93183
331	93361
332	93614
333	93473
334	93602
335	93073
336	93903
337	93688
338	93473
339	94189
340	93300
341	93437
342	93536
343	93256
344	93487
345	93476
346	94095
347	93534
348	93462
349	93489
350	92748
351	93056
352	93478
353	93417
354	93649
355	93091
356	93373
357	93216
358	93394
359	93553
360	93405
361	93475
362	94241
363	93711
364	93212
365	93157
366	93482
367	93246
368	93791
369	93279
370	93143
371	93836
372	93691
373	93284
374	93232
375	93652
376	93326
377	93371
378	93673
379	93908
380	93034
381	92985
382	92678
383	92831
384	93101
385	93302
386	92683
387	92366
388	93064
389	92659
390	93335
391	93239
392	92496
393	92846
394	93340
395	92529
396	92658
397	92728
398	92834
399	92635
400	91940
401	92078
402	91981
403	91979
404	92368
405	91831
406	91889
407	91961
408	91165
409	91835
410	91913
411	91385
412	90854
413	90677
414	90935
415	90829
416	90757
417	90135
418	90402
419	89997
420	89777
421	89827
422	89490
423	89903
424	89042
425	89111
426	89348
427	88234
428	88188
429	88677
430	88360
431	88576
432	88247
433	88867
434	88880
435	88815
436	88029
437	88918
438	89204
439	89565
440	89920
441	89617
442	90181
443	89886
444	90697
445	90271
446	90860
447	91030
448	91198
449	91362
450	91408
451	91259
452	91938
453	91756
454	92112
455	91928
456	92242
457	91694
458	92322
459	92108
460	91970
461	92430
462	92828
463	91834
464	93114
465	93071
466	92767
467	92361
468	93481
469	93743
470	93279
471	93046
472	93161
473	93353
474	93348
475	93376
476	93140
477	92759
478	93097
479	92809
480	93611
481	92963
482	92865
483	93898
484	93592
485	92859
486	92548
487	92915
488	92930
489	93216
490	93589
491	93200
492	93341
493	92999
494	93379
495	93263
496	93254
497	93853
498	93262
499	94061
500	93912
501	93749
502	93723
503	93221
504	93937
505	93457
506	93468
507	93858
508	93628
509	93465
510	94048
511	94164
512	93563
513	93391
514	93795
515	93546
516	93692
517	93718
518	93399
519	94006
520	93734
521	93446
522	93632
523	93156
524	93604
525	94072
526	93528
527	93033
528	93132
529	93831
530	93504
531	93811
532	93847
533	94007
534	93899
535	94230
536	93916
537	93195
538	93878
539	93332
540	92882
541	93022
542	93392
543	93530
544	93390
545	93913
546	93028
547	93413
548	93422
549	93264
550	93068
551	93725
552	93220
553	93374
554	93877
555	93643
556	93294
557	93555
558	93840
559	93573
560	93936
561	93740
562	93194
563	93606
564	93848
565	93715
566	93191
567	93734
568	93451
569	93652
570	93688
571	93394
572	93318
573	93181
574	93659
575	93150
576	93655
577	93384
578	93872
579	93611
580	93391
581	93391
582	93180
583	93356
584	93591
585	93662
586	93474
587	93941
588	93301
589	94106
590	92593
591	93756
592	93117
593	94094
594	93672
595	93219
596	93239
597	93499
598	93556
599	93154
600	93839
601	93158
602	93377
603	93196
604	93672
605	93480
606	93909
607	93255
608	93447
609	93078
610	93751
611	93725
612	93624
613	92761
614	93668
615	93355
616	92968
617	92606
618	93214
619	92983
620	93172
621	93017
622	93515
623	93380
624	93403
625	93045
626	93599
627	92916
628	93156
629	92951
630	93396
631	92506
632	92721
633	92645
634	92127
635	92419
636	92310
637	92293
638	92163
639	91847
640	92146
641	91410
642	91400
643	91445
644	90947
645	91478
646	91553
647	90790
648	91203
649	91035
650	90639
651	90749
652	90049
653	90524
654	90639
655	89741
656	89591
657	89325
658	89331
659	89227
660	89279
661	89079
662	89135
663	88541
664	88516
665	89005
666	88810
667	88550
668	88897
669	89068
670	88912
671	89127
672	89327
673	89574
674	89883
675	90339
676	89989
677	89849
678	90715
679	90767
680	90695
681	90909
682	91852
