Channel	Count
0	4721
1	4765
2	4759
3	4723
4	4681
5	4712
6	4676
7	4685
8	4572
9	4781
10	4780
11	4731
12	4675
13	4790
14	4764
15	4710
16	4580
17	4796
18	4728
19	4670
20	4696
21	4773
22	4642
23	4662
24	4730
25	4657
26	4748
27	4651
28	4833
29	4709
30	4809
31	4765
32	4719
33	4798
34	4765
35	4742
36	4729
37	4841
38	4796
39	4745
40	4660
41	4728
42	4741
43	4743
44	4784
45	4720
46	4775
47	4729
48	4635
49	4702
50	4730
51	4685
52	4635
53	4687
54	4522
55	4700
56	4759
57	4801
58	4792
59	4775
60	4731
61	4712
62	4763
63	4653
64	4610
65	4737
66	4758
67	4790
68	4656
69	4783
70	4697
71	4668
72	4835
73	4688
74	4739
75	4634
76	4709
77	4676
78	4767
79	4691
80	4686
81	4797
82	4660
83	4696
84	4728
85	4794
86	4759
87	4685
88	4755
89	4639
90	4648
91	4770
92	4640
93	4699
94	4863
95	4680
96	4722
97	4799
98	4750
99	4801
100	4755
101	4748
102	4670
103	4839
104	4777
105	4769
106	4780
107	4751
108	4700
109	4785
110	4751
111	4763
112	4682
113	4722
114	4767
115	4795
116	4676
117	4750
118	4643
119	4806
120	4738
121	4686
122	4701
123	4734
124	4779
125	4676
126	4867
127	4870
128	4811
129	4683
130	4824
131	4843
132	4641
133	4790
134	4895
135	4676
136	4722
137	4729
138	4800
139	4921
140	4670
141	4788
142	4691
143	4740
144	4718
145	4875
146	4894
147	4740
148	4718
149	4804
150	4703
151	4616
152	4713
153	4750
154	4862
155	4684
156	4733
157	4689
158	4730
159	4834
160	4636
161	4663
162	4718
163	4776
164	4651
165	4655
166	4735
167	4834
168	4701
169	4755
170	4636
171	4859
172	4760
173	4679
174	4690
175	4580
176	4763
177	4723
178	4799
179	4729
180	4628
181	4792
182	4683
183	4701
184	4749
185	4534
186	4706
187	4771
188	4827
189	4723
190	4707
191	4823
192	4819
193	4664
194	4648
195	4668
196	4775
197	4789
198	4720
199	4769
200	4703
201	4795
202	4728
203	4659
204	4698
205	4719
206	4779
207	4733
208	4795
209	4694
210	4701
211	4640
212	4737
213	4737
214	4664
215	4962
216	4598
217	4815
218	4772
219	4695
220	4688
221	4753
222	4812
223	4826
224	4732
225	4783
226	4766
227	4748
228	4691
229	4735
230	4638
231	4837
232	4793
233	4836
234	4682
235	4658
236	4706
237	4734
238	4730
239	4684
240	4699
241	4838
242	4757
243	4742
244	4623
245	4726
246	4700
247	4747
248	4739
249	4766
250	4759
251	4690
252	4737
253	4703
254	4657
255	4752
256	4788
257	4614
258	4730
259	4874
260	4702
261	4858
262	4773
263	4669
264	4781
265	4713
266	4686
267	4646
268	4769
269	4689
270	4632
271	4810
272	4629
273	4718
274	4814
275	4839
276	4764
277	4757
278	4656
279	4708
280	4820
281	4827
282	4702
283	4599
284	4668
285	4652
286	4827
287	4676
288	4717
289	4698
290	4760
291	4584
292	4725
293	4666
294	4807
295	4778
296	4720
297	4693
298	4838
299	4800
300	4759
301	4836
302	4722
303	4634
304	4650
305	4718
306	4673
307	4599
308	4669
309	4705
310	4827
311	4610
312	4700
313	4729
314	4685
315	4823
316	4811
317	4760
318	4587
319	4761
320	4705
321	4853
322	4658
323	4753
324	4692
325	4664
326	4772
327	4853
328	4750
329	4634
330	4760
331	4654
332	4716
333	4706
334	4743
335	4798
336	4652
337	4673
338	4611
339	4678
340	4653
341	4639
342	4588
343	4707
344	4710
345	4740
346	4668
347	4674
348	4679
349	4573
350	4583
351	4730
352	4562
353	4560
354	4633
355	4731
356	4660
357	4662
358	4597
359	4755
360	4847
361	4707
362	4716
363	4645
364	4645
365	4699
366	4750
367	4691
368	4763
369	4713
370	4675
371	4655
372	4616
373	4754
374	4561
375	4709
376	4537
377	4774
378	4712
379	4628
380	4629
381	4803
382	4609
383	4601
384	4668
385	4735
386	4511
387	4636
388	4516
389	4570
390	4702
391	4714
392	4671
393	4669
394	4469
395	4648
396	4577
397	4590
398	4678
399	4530
400	4696
401	4573
402	4637
403	4598
404	4824
405	4620
406	4651
407	4641
408	4689
409	4802
410	4544
411	4673
412	4530
413	4646
414	4521
415	4512
416	4533
417	4624
418	4570
419	4532
420	4673
421	4561
422	4420
423	4636
424	4570
425	4517
426	4558
427	4658
428	4625
429	4636
430	4549
431	4430
432	4426
433	4503
434	4692
435	4523
436	4461
437	4557
438	4474
439	4577
440	4565
441	4439
442	4542
443	4490
444	4556
445	4636
446	4519
447	4411
448	4515
449	4484
450	4424
451	4445
452	4379
453	4328
454	4468
455	4387
456	4433
457	4348
458	4491
459	4527
460	4352
461	4395
462	4401
463	4288
464	4373
465	4409
466	4204
467	4300
468	4320
469	4173
470	4358
471	4286
472	4246
473	4352
474	4240
475	4208
476	4174
477	4181
478	4169
479	4154
