Theta (deg)	Intensity	Phi_A (deg)	Micrometer (mm)
40.9939	0.9994	6.0739	14.0000
41.7222	0.8763	4.9679	13.0000
42.4504	0.5593	3.8631	12.0000
43.1786	0.2887	2.7592	11.0000
43.5466	0.2231	2.2073	10.5000
43.6193	0.2164	2.0970	10.4000
43.6919	0.2114	1.9866	10.3000
43.7645	0.2099	1.8763	10.2000
43.8372	0.2089	1.7659	10.1000
43.9070	0.2106	1.6556	10.0000
43.9825	0.2101	1.5452	9.9000
44.0552	0.2164	1.4349	9.8000
44.1278	0.2204	1.3245	9.7000
44.2005	0.2279	1.2142	9.6000
44.2732	0.2352	1.1038	9.5000
44.6356	0.2857	0.5520	9.0000
45.3645	0.4054	-0.5521	8.0000
46.0940	0.5146	-1.6570	7.0000
46.8240	0.6099	-2.7632	6.0000
47.5548	0.6817	-3.8711	5.0000
48.2864	0.7430	-4.9810	4.0000
