Theta (deg)	Intensity	Phi_A (deg)	Micrometer (mm)
40.9939	0.9725	6.0739	14.0000
41.7222	1.0234	4.9679	13.0000
42.4504	1.0118	3.8631	12.0000
43.1786	0.9422	2.7592	11.0000
43.9070	0.7147	1.6556	10.0000
44.2712	0.5084	1.1038	9.5000
44.6356	0.2929	0.5520	9.0000
44.7084	0.2622	0.4416	8.9000
44.7813	0.2393	0.3312	8.8000
44.8542	0.2230	0.2208	8.7000
44.9271	0.2115	0.1104	8.6000
45.0000	0.2056	0.0000	8.5000
45.0729	0.2054	-0.1104	8.4000
45.1458	0.2108	-0.2208	8.3000
45.2187	0.2213	-0.3312	8.2000
45.2916	0.2357	-0.4417	8.1000
45.3645	0.2536	-0.5521	8.0000
45.7292	0.3517	-1.1044	7.5000
46.0940	0.4570	-1.6570	7.0000
46.8240	0.6037	-2.7632	6.0000
47.5548	0.6840	-3.8711	5.0000
48.2864	0.7368	-4.9810	4.0000
49.0190	0.7827	-6.0935	3.0000
